NOM COMPLET,CODE FVF,INDIC_ZH
Juncus gerardi Loisel.,104196,Oui
Juncus heterophyllus Dufour.,104208,Oui
Juncus hybridus Brot.,104212,Oui
Juncus inflexus L.,104214,Oui
Juncus littoralis C. A. Mey.,104235,Oui
Juncus maritimus Lam.,104246,Oui
Juncus minutulus (Albert & Jahand.) Prain.,104255,Oui
Juncus pygmaeus Rich. ex-Thuill.,104302,Oui
Juncus pyrenaeus Timb.-Lagr. & Jeanb.,104305,Oui
Juncus sphaerocarpus Nees.,104329,Oui
Juncus squarrosus L.,104334,Oui
Juncus striatus Schousb. ex-E. Mey.,104337,Oui
Juncus subnodulosus Schrank.,104340,Oui
Juncus subulatus Forssk.,104341,Oui
Juncus tenageia Ehrh. ex-Lf.,104349,Oui
Juncus triglumis L.,104363,Oui
Kickxia cirrhosa (L.) Fritsch.,104500,Oui
Kickxia commutata (Bernh. ex-Rchb.) Fritsch.,104501,Oui
Kickxia lanigera (Desf.) Hand.-Mazz.,104503,Oui
Kobresia simpliciuscula (Wahlenb.) Mack.,104582,Oui
Kosteletzkya pentacarpos (L.) Ledeb.,104707,Oui
Laserpitium prutenicum L.,105086,Oui
Lathraea clandestina L.,105145,Oui
Lathraea squamaria L.,105148,Oui
Lathyrus palustris L.,105239,Oui
Leersia oryzoides (L.) Sw.,105400,Oui
Leontodon duboisii Sennen.,105492,Oui
Leucojum aestivum L.,105827,Oui
Ligularia sibirica (L.) Cass.,105908,Oui
Limoniastrum monopetalum (L.) Boiss.,106037,Oui
Limonium auriculiursifolium (Pourr.) Druce.,106044,Oui
Limonium densissimum (Pignatti) Pignatti.,106059,Oui
Limonium girardianum (Guss.) Fourr.,106077,Oui
Limonium narbonense Mill.,106088,Oui
Limosella aquatica L.,106128,Oui
Lindernia dubia (L.) Pennell.,106252,Oui
Lindernia palustris Hartmann.,106257,Oui
Linum maritimum L.,106313,Oui
Liparis loeselii (L.) Rich.,106353,Oui
Littorella uniflora (L.) Asch.,106419,Oui
Lobelia dortmanna L.,106428,Oui
Lobelia urens L.,106435,Oui
Lotus conimbricensis Brot.,106651,Oui
Lotus pedunculatus Cav.,106698,Oui
Ludwigia grandiflora (Michx.) Greuter & Burdet.,106742,Oui
Ludwigia palustris (L.) Elliott.,106747,Oui
Ludwigia peploides (Kunth) P. H. Raven.,106748,Oui
Luzula multiflora (Ehrh.) Lej. subsp. congesta (Thuill.) Arcang.,137506,Oui
Lycopodiella inundata (L.) Holub.,106993,Oui
Lycopus europaeus L.,107038,Oui
Lycopus exaltatus Lf.,107039,Oui
Lysimachia nemorum L.,107072,Oui
Lysimachia nummularia L.,107073,Oui
Lysimachia thyrsiflora L.,107086,Oui
Lysimachia vulgaris L.,107090,Oui
Lythrum borysthenicum (Schrank) Litv.,107097,Oui
Lythrum hyssopifolia L.,107106,Oui
Lythrum junceum Banks & Sol.,107108,Oui
Lythrum portula (L.) D. A. Webb.,107115,Oui
Lythrum salicaria L.,107117,Oui
Lythrum thesioides M. Bieb.,107122,Oui
Lythrum thymifolium L.,107123,Oui
Lythrum tribracteatum Salzm. ex-Spreng.,107125,Oui
Lythrum virgatum L.,107126,Oui
Marsilea quadrifolia L.,107407,Oui
Marsilea strigosa Willd.,107409,Oui
Matteuccia struthiopteris (L.) Tod.,107486,Oui
Mentha aquatica L.,108027,Oui
Mentha arvensis L.,108029,Oui
Mentha cervina L.,108044,Oui
Mentha longifolia (L.) Huds.,108103,Oui
Mentha pulegium L.,108138,Oui
Mentha requienii Benth.,108145,Oui
Mentha spicata L.,108166,Oui
Mentha suaveolens Ehrh.,108168,Oui
Menyanthes trifoliata L.,108345,Oui
Mimulus guttatus Fisch. ex-DC.,108580,Oui
Mimulus moschatus Douglas ex-Lindl.,108583,Oui
Molineriella minuta (L.) Rouy.,108714,Oui
Molinia caerulea (L.) Moench.,108718,Oui
Montia fontana L.,108785,Oui
Morisia monanthos (Viv.) Asch.,108807,Oui
Myosotis lamottiana (Braun-Blanq.) Grau.,109036,Oui
Myosotis laxa Lehm.,109042,Oui
Myosotis nemorosa Besser.,109068,Oui
Myosotis scorpioides L.,109091,Oui
Myosotis secunda A. Murray.,109092,Oui
Myosotis sicula Guss.,109095,Oui
Myosotis soleirolii (Nyman) Godr. ex-Rouy.,109096,Oui
Myosoton aquaticum (L.) Moench.,109121,Oui
Myosurus minimus L.,109126,Oui
Myrica gale L.,109130,Oui
Myricaria germanica (L.) Desv.,109135,Oui
Narcissus tazetta L.,109309,Oui
Narthecium ossifragum (L.) Huds.,109372,Oui
Narthecium reverchonii Celak.,109375,Oui
Nasturtium microphyllum (Boenn.) Rchb.,109419,Oui
Nasturtium officinale R. Br.,109422,Oui
Naufraga balearica Constance & Cannon.,109455,Oui
Nerium oleander L.,109584,Oui
Oenanthe aquatica (L.) Poir.,109861,Oui
Oenanthe crocata L.,109864,Oui
Oenanthe fistulosa L.,109869,Oui
Oenanthe foucaudii Tess.,109871,Oui
Oenanthe globulosa L.,109874,Oui
Oenanthe lachenalii C. C. Gmel.,109881,Oui
Oenanthe peucedanifolia Pollich.,109890,Oui
Oenanthe silaifolia M. Bieb.,109898,Oui
Omalotheca supina (L.) DC.,110063,Oui
Ophioglossum azoricum C. Presl.,110306,Oui
Ophioglossum lusitanicum L.,110307,Oui
Ophioglossum vulgatum L.,110313,Oui
Oreopteris limbosperma (Bellardi ex-All.) Holub.,111239,Oui
Osmunda regalis L.,111815,Oui
Parentucellia viscosa (L.) Caruel.,112405,Oui
Parnassia palustris L.,112426,Oui
Paspalum distichum L.,112483,Oui
Pedicularis foliosa L.,112577,Oui
Pedicularis mixta Gren.,112586,Oui
Pedicularis palustris L.,112590,Oui
Pedicularis sylvatica L.,112601,Oui
Pedicularis verticillata L.,112604,Oui
Periploca graeca L.,112712,Oui
Petasites albus (L.) Gaertn.,112778,Oui
"Petasites hybridus (L.) G. Gaertn., B. Mey. & Scherb.",112783,Oui
Petasites paradoxus (Retz.) Baumg.,112788,Oui
Petasites pyrenaicus (L.) G. Lopez.,112790,Oui
Peucedanum gallicum Latourr.,112853,Oui
Phalaris arundinacea L.,112975,Oui
Phleum alpinum L. subsp. alpinum.,138707,Oui
Phragmites australis (Cav.) Steud.,113260,Oui
Phyla filiformis (Schrad.) Meikle.,113293,Oui
Pilularia globulifera L.,113547,Oui
Pilularia minuta Durieu.,113548,Oui
Pinguicula alpina L.,113609,Oui
Pinguicula arvetii Genty.,113612,Oui
Pinguicula corsica Bernard & Gren.,113616,Oui
Pinguicula grandiflora Lam.,113620,Oui
Pinguicula leptoceras Rchb.,113624,Oui
Pinguicula longifolia Ramond ex-DC.,113625,Oui
Pinguicula lusitanica L.,113626,Oui
Pinguicula vulgaris L.,113639,Oui
Plagius flosculosus (L.) Alavi & Heywood.,113791,Oui
Plantago cornutii Gouan.,113838,Oui
Plantago crassifolia Forssk.,113843,Oui
Plantago major L. subsp. intermedia (Gilib.) Lange.,138899,Oui
Plantago maritima L.,113905,Oui
Poa laxa Haenke.,114262,Oui
Poa palustris L.,114312,Oui
Poa supina Schrad.,114398,Oui
Polygala exilis DC.,114554,Oui
Polygonum alpinum All.,114637,Oui
Polygonum amphibium L.,114641,Oui
Polygonum bellardii All.,114660,Oui
Polygonum bistorta L.,114664,Oui
Polygonum hydropiper L.,114745,Oui
Polygonum lapathifolium L.,114761,Oui
Polygonum minus Huds.,114784,Oui
Polygonum mite Schrank.,114785,Oui
Polygonum romanum Jacq.,114856,Oui
Polygonum salicifolium Brouss. ex-Willd.,114864,Oui
Polypogon maritimus Willd.,115025,Oui
Polypogon monspeliensis (L.) Desf.,115027,Oui
Polypogon viridis (Gouan) Breistr.,115031,Oui
Pontederia cordata L.,115096,Oui
Populus alba L.,115110,Oui
Populus nigra L.,115145,Oui
Potentilla anglica Laichard. subsp. nesogenes (Briq.) Gamisans.,139232,Oui
Potentilla anserina L.,115402,Oui
Potentilla fruticosa L.,115487,Oui
Potentilla palustris (L.) Scop.,115587,Oui
Potentilla supina L.,115669,Oui
Primula farinosa L.,115868,Oui
Primula integrifolia L.,115883,Oui
Prunella hyssopifolia L.,115996,Oui
Prunus padus L.,116109,Oui
Pseudognaphalium luteoalbum (L.) Hilliard & Burtt.,116201,Oui
Pteris cretica L.,116272,Oui
Puccinellia convoluta (Hornem.) Fourr.,116347,Oui
Puccinellia distans (Jacq.) Parl.,116348,Oui
Puccinellia fasciculata (Torr.) E. P. Bicknell.,116349,Oui
Puccinellia festuciformis (Host) Parl.,116350,Oui
Puccinellia foucaudii (Hack.) Holmb.,116352,Oui
Puccinellia maritima (Huds.) Parl.,116354,Oui
Pulicaria dysenterica (L.) Bernh.,116392,Oui
Pulicaria sicula (L.) Moris.,116401,Oui
Pulicaria vulgaris Gaertn.,116405,Oui
Pycreus flavescens (L.) P. Beauv. ex-Rchb.,116478,Oui
Radiola linoides Roth.,116870,Oui
